央视频道,#genre#
CCTV1,http://36.40.236.166:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://101.66.198.5:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://101.66.198.218:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://36.40.236.166:9999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://101.66.198.218:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://36.40.236.166:9999/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://101.66.198.5:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://101.66.198.218:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://36.40.236.166:9999/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://123.129.70.178:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://36.40.236.166:9999/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://101.66.198.5:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://101.66.198.218:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,http://123.129.70.178:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://101.66.198.5:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://101.66.198.218:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://36.40.236.166:9999/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://101.66.198.5:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://101.66.198.218:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://36.40.236.166:9999/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
