其他频道,#genre#
CGTN,http://111.225.113.232:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,http://61.141.202.118:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,http://222.71.189.186:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
上海电视剧,http://61.170.164.195:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
上海纪实,http://180.158.146.27:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
上海艺术人生,http://61.170.164.195:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
东南,http://113.236.17.224:9901/tsfile/live/1147_1.m3u8?key=txiptv&playlive=1&authid=0
东方购物,http://61.170.164.195:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
中国教育CETV4,http://101.74.30.22:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
中国气象,http://222.71.189.186:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
五星体育,http://180.158.146.27:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
五星体育,http://222.71.189.186:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
五星体育,http://61.170.164.195:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
优漫卡通,http://221.226.4.10:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
优漫卡通,http://113.236.17.224:9901/tsfile/live/1090_1.m3u8?key=txiptv&playlive=1&authid=0
优漫卡通,http://123.189.36.241:9901/tsfile/live/1090_1.m3u8?key=txiptv&playlive=1&authid=0
优漫卡通,http://49.87.154.246:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
佳嘉卡通,http://113.236.17.224:9901/tsfile/live/1091_1.m3u8?key=txiptv&playlive=1&authid=0
佳嘉卡通,http://123.189.36.241:9901/tsfile/live/1091_1.m3u8?key=txiptv&playlive=1&authid=0
保定1,http://101.74.30.22:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
保定文化娱乐,http://111.225.113.232:9901/tsfile/live/0126_2.m3u8?key=txiptv&playlive=1&authid=0
保定新闻,http://111.225.113.232:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
保定经济生活,http://111.225.113.232:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
公共,http://123.160.233.32:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
公共,http://123.52.43.144:8888/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
动作电影,http://113.236.17.224:9901/tsfile/live/1101_1.m3u8?key=txiptv&playlive=1&authid=0
动作电影,http://123.189.36.241:9901/tsfile/live/1101_1.m3u8?key=txiptv&playlive=1&authid=0
动漫秀场,http://221.226.4.10:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
动漫秀场,http://49.87.154.246:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
北京,http://113.236.17.224:9901/tsfile/live/1151_1.m3u8?key=txiptv&playlive=1&authid=0
北京,http://123.189.36.241:9901/tsfile/live/1151_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷动漫,http://113.236.17.224:9901/tsfile/live/1087_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷动漫,http://123.189.36.241:9901/tsfile/live/1087_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷动画,http://123.182.211.98:8088/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷动画,http://123.52.43.144:8888/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷卡通,http://111.161.149.70:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷少儿,http://111.225.113.232:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
吉林,http://113.236.17.224:9901/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
吉林,http://123.189.36.241:9901/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
哈哈炫动,http://60.12.183.46:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=0&authid=0
嘉佳卡通,http://123.52.43.144:8888/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://222.71.189.186:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
四川,http://123.189.36.241:9901/tsfile/live/1130_1.m3u8?key=txiptv&playlive=1&authid=0
四川,http://113.236.17.224:9901/tsfile/live/1130_1.m3u8?key=txiptv&playlive=1&authid=0
天津,http://113.236.17.224:9901/tsfile/live/1129_1.m3u8?key=txiptv&playlive=1&authid=0
天津,http://123.189.36.241:9901/tsfile/live/1129_1.m3u8?key=txiptv&playlive=1&authid=0
天津体育台,http://111.161.149.70:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
天津公共台,http://111.161.149.70:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
天津影视台,http://111.161.149.70:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
天津文艺台,http://111.161.149.70:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
天津新闻台,http://111.161.149.70:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
天津科教台,http://111.161.149.70:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
天津都市台,http://111.161.149.70:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
安徽,http://113.236.17.224:9901/tsfile/live/1152_1.m3u8?key=txiptv&playlive=1&authid=0
安徽,http://123.189.36.241:9901/tsfile/live/1152_1.m3u8?key=txiptv&playlive=1&authid=0
家庭影院,http://123.189.36.241:9901/tsfile/live/1105_1.m3u8?key=txiptv&playlive=1&authid=0
家庭影院,http://113.236.17.224:9901/tsfile/live/1105_1.m3u8?key=txiptv&playlive=1&authid=0
密云电视,http://123.118.53.89:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
少儿动画,http://123.118.53.89:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
山东,http://113.236.17.224:9901/tsfile/live/1134_1.m3u8?key=txiptv&playlive=1&authid=0
山东,http://123.189.36.241:9901/tsfile/live/1134_1.m3u8?key=txiptv&playlive=1&authid=0
山东体育,http://119.177.21.217:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
山东公共,http://119.177.21.217:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
山东农科,http://119.177.21.217:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
